#Freq       VP(4)      VP(6)     
 15.849E+3 -174.14     89.488    
 16.218E+3 -174.54     89.457    
 16.596E+3 -174.94     89.427    
 16.982E+3 -175.34     89.396    
 17.378E+3 -175.74     89.365    
 17.783E+3 -176.14     89.333    
 18.197E+3 -176.53     89.301    
 18.621E+3 -176.93     89.269    
 19.055E+3 -177.32     89.236    
 19.498E+3 -177.71     89.203    
 19.953E+3 -178.1      89.17     
 20.417E+3 -178.49     89.136    
